0 -2 0 0 -1 0 1
0.405 -1.98 0 0 -1 0 1
0.327652 -1.98 0.238053 0 -1 0 1
0 -2 0 0 -1 0 1
0.327652 -1.98 0.238053 0 -1 0 1
0 -2 0 0 -1 0 1
0 -2 0 0 -1 0 1
0.327652 -1.98 0.238053 0 -1 0 1
0.125152 -1.98 0.385178 0 -1 0 1
0 -2 0 0 -1 0 1
0.125152 -1.98 0.385178 0 -1 0 1
0 -2 0 0 -1 0 1
0 -2 0 0 -1 0 1
0.125152 -1.98 0.385178 0 -1 0 1
-0.125152 -1.98 0.385178 0 -1 0 1
0 -2 0 0 -1 0 1
-0.125152 -1.98 0.385178 0 -1 0 1
0 -2 0 0 -1 0 1
0 -2 0 0 -1 0 1
-0.125152 -1.98 0.385178 0 -1 0 1
-0.327652 -1.98 0.238053 0 -1 0 1
0 -2 0 0 -1 0 1
-0.327652 -1.98 0.238053 0 -1 0 1
0 -2 0 0 -1 0 1
0 -2 0 0 -1 0 1
-0.327652 -1.98 0.238053 0 -1 0 1
-0.405 -1.98 -3.54062e-08 0 -1 0 1
0 -2 0 0 -1 0 1
-0.405 -1.98 -3.54062e-08 0 -1 0 1
0 -2 0 0 -1 0 1
0 -2 0 0 -1 0 1
-0.405 -1.98 -3.54062e-08 0 -1 0 1
-0.327652 -1.98 -0.238053 0 -1 0 1
0 -2 0 0 -1 0 1
-0.327652 -1.98 -0.238053 0 -1 0 1
0 -2 0 0 -1 0 1
0 -2 0 0 -1 0 1
-0.327652 -1.98 -0.238053 0 -1 0 1
-0.125152 -1.98 -0.385178 0 -1 0 1
0 -2 0 0 -1 0 1
-0.125152 -1.98 -0.385178 0 -1 0 1
0 -2 0 0 -1 0 1
0 -2 0 0 -1 0 1
-0.125152 -1.98 -0.385178 0 -1 0 1
0.125152 -1.98 -0.385178 0 -1 0 1
0 -2 0 0 -1 0 1
0.125152 -1.98 -0.385178 0 -1 0 1
0 -2 0 0 -1 0 1
0 -2 0 0 -1 0 1
0.125152 -1.98 -0.385178 0 -1 0 1
0.327652 -1.98 -0.238053 0 -1 0 1
0 -2 0 0 -1 0 1
0.327652 -1.98 -0.238053 0 -1 0 1
0 -2 0 0 -1 0 1
0 -2 0 0 -1 0 1
0.327652 -1.98 -0.238053 0 -1 0 1
0.405 -1.98 7.08125e-08 0 -1 0 1
0 -2 0 0 -1 0 1
0.405 -1.98 7.08125e-08 0 -1 0 1
0 -2 0 0 -1 0 1
0.405 -1.98 0 0.951057 -0 0.309017 1
0.405 -1.96 0 0.951057 -0 0.309017 1
0.327652 -1.96 0.238053 0.951057 -0 0.309017 1
0.405 -1.98 0 0.951057 -0 0.309017 1
0.327652 -1.96 0.238053 0.951057 -0 0.309017 1
0.327652 -1.98 0.238053 0.951057 -0 0.309017 1
0.327652 -1.98 0.238053 0.587785 -0 0.809017 1
0.327652 -1.96 0.238053 0.587785 -0 0.809017 1
0.125152 -1.96 0.385178 0.587785 -0 0.809017 1
0.327652 -1.98 0.238053 0.587785 -0 0.809017 1
0.125152 -1.96 0.385178 0.587785 -0 0.809017 1
0.125152 -1.98 0.385178 0.587785 -0 0.809017 1
0.125152 -1.98 0.385178 -1.19065e-07 0 1 1
0.125152 -1.96 0.385178 -1.19065e-07 0 1 1
-0.125152 -1.96 0.385178 -1.19065e-07 0 1 1
0.125152 -1.98 0.385178 -1.19065e-07 0 1 1
-0.125152 -1.96 0.385178 -1.19065e-07 0 1 1
-0.125152 -1.98 0.385178 -1.19065e-07 0 1 1
-0.125152 -1.98 0.385178 -0.587785 0 0.809017 1
-0.125152 -1.96 0.385178 -0.587785 0 0.809017 1
-0.327652 -1.96 0.238053 -0.587785 0 0.809017 1
-0.125152 -1.98 0.385178 -0.587785 0 0.809017 1
-0.327652 -1.96 0.238053 -0.587785 0 0.809017 1
-0.327652 -1.98 0.238053 -0.587785 0 0.809017 1
